company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Klaus Weber,CE,12,4.9,Germany,VAN-002,Van,3500,2021,45000,Rome,Vienna,821,Europe,Road,1707.48,1382.14,360.57,10.26,10.11,-9,False,on_time,Cloudy,7.0,3.1,2026-04-06T09:00:00.899620,2026-04-06T09:08:00.899620,2026-04-06T19:15:36.899620,2026-04-06T19:06:36.899620,2026-04-06
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Klaus Weber,CE,12,4.9,Germany,TRK-007,Truck,22000,2016,210000,Casablanca,Tunis,2003,Africa,Road,6074.73,2656.09,665.91,25.04,26.16,67,True,delayed,Clear,-4.8,28.9,2026-04-08T11:00:00.915348,2026-04-08T11:17:00.915348,2026-04-09T12:02:24.915348,2026-04-09T13:09:24.915348,2026-04-08
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,MCY-006,Motorcycle,500,2023,8000,Dubai,Cairo,2721,Middle East,Road,415.64,5891.01,973.94,34.01,34.39,23,False,on_time,Rain,38.5,53.5,2026-04-12T12:00:00.915883,2026-04-12T11:59:00.915883,2026-04-13T22:00:36.915883,2026-04-13T22:23:36.915883,2026-04-12
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Marie Dupont,C,5,4.2,France,VAN-002,Van,3500,2021,45000,Cairo,Dubai,2721,Middle East,Road,364.0,3320.54,695.91,34.01,35.81,108,True,delayed,Rain,34.3,46.9,2026-04-08T09:00:00.916338,2026-04-08T09:16:00.916338,2026-04-09T19:00:36.916338,2026-04-09T20:48:36.916338,2026-04-08
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Yusuf Al-Amin,C,4,4.0,UAE,VAN-008,Van,4000,2020,80000,Dubai,Cairo,2721,Middle East,Road,3302.11,4836.47,739.8,34.01,34.18,10,True,delayed,Clear,39.0,67.4,2026-04-07T06:00:00.916661,2026-04-07T06:11:00.916661,2026-04-08T16:00:36.916661,2026-04-08T16:10:36.916661,2026-04-07
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Juan Garcia,CE,7,4.5,Spain,TRK-001,Truck,20000,2018,150000,London,Paris,402,Europe,Road,12266.28,597.05,113.73,5.03,5.26,14,False,on_time,Cloudy,35.0,91.1,2026-04-06T13:00:00.917019,2026-04-06T13:14:00.917019,2026-04-06T18:01:48.917019,2026-04-06T18:15:48.917019,2026-04-06
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Yusuf Al-Amin,C,4,4.0,UAE,TRK-007,Truck,22000,2016,210000,Paris,Berlin,1292,Europe,Road,8659.08,2759.0,568.88,16.15,16.88,44,True,delayed,Rain,8.9,19.8,2026-04-09T08:00:00.917313,2026-04-09T08:09:00.917313,2026-04-10T00:09:00.917313,2026-04-10T00:53:00.917313,2026-04-09
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Yusuf Al-Amin,C,4,4.0,UAE,MCY-006,Motorcycle,500,2023,8000,Istanbul,Vienna,1611,Europe,Road,400.62,2132.56,468.0,20.14,20.04,-6,False,on_time,Rain,33.2,64.5,2026-04-09T06:00:00.917561,2026-04-09T06:03:00.917561,2026-04-10T02:08:24.917561,2026-04-10T02:02:24.917561,2026-04-09
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Ahmed Hassan,CE,8,4.7,Morocco,TRK-007,Truck,22000,2016,210000,Paris,Berlin,1292,Europe,Road,17949.43,2443.69,397.55,16.15,17.2,63,True,delayed,Rain,-8.9,9.0,2026-04-08T08:00:00.917790,2026-04-08T08:13:00.917790,2026-04-09T00:09:00.917790,2026-04-09T01:12:00.917790,2026-04-08
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,12752.42,367.84,73.77,2.24,2.67,26,True,delayed,Cloudy,11.9,99.0,2026-04-06T06:00:00.918028,2026-04-06T06:19:00.918028,2026-04-06T08:14:24.918028,2026-04-06T08:40:24.918028,2026-04-06
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Sara Ali,B,3,3.8,Egypt,TRK-003,Truck,25000,2015,280000,Istanbul,Vienna,1611,Europe,Road,15050.95,2061.97,682.68,20.14,21.26,67,True,delayed,Rain,18.6,27.0,2026-04-08T12:00:00.918538,2026-04-08T12:10:00.918538,2026-04-09T08:08:24.918538,2026-04-09T09:15:24.918538,2026-04-08
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Marie Dupont,C,5,4.2,France,VAN-008,Van,4000,2020,80000,London,Paris,402,Europe,Road,373.54,994.04,131.66,5.03,5.45,25,False,on_time,Clear,7.2,10.2,2026-04-07T11:00:00.918919,2026-04-07T10:57:00.918919,2026-04-07T16:01:48.918919,2026-04-07T16:26:48.918919,2026-04-07
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-003,Truck,25000,2015,280000,Amsterdam,Brussels,179,Europe,Road,18642.64,418.73,64.84,2.24,2.62,23,False,on_time,Cloudy,32.5,52.8,2026-04-09T13:00:00.919307,2026-04-09T13:05:00.919307,2026-04-09T15:14:24.919307,2026-04-09T15:37:24.919307,2026-04-09
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,VAN-008,Van,4000,2020,80000,Cairo,Dubai,2721,Middle East,Road,1510.56,4889.89,868.79,34.01,34.54,32,True,delayed,Rain,-2.9,95.3,2026-04-08T12:00:00.919606,2026-04-08T12:18:00.919606,2026-04-09T22:00:36.919606,2026-04-09T22:32:36.919606,2026-04-08
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Ahmed Hassan,CE,8,4.7,Morocco,TRK-003,Truck,25000,2015,280000,Berlin,Warsaw,845,Europe,Road,2907.84,1713.59,231.96,10.56,10.71,9,True,delayed,Rain,36.8,90.3,2026-04-12T12:00:00.919853,2026-04-12T11:55:00.919853,2026-04-12T22:33:36.919853,2026-04-12T22:42:36.919853,2026-04-12
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-001,Truck,20000,2018,150000,Rome,Vienna,821,Europe,Road,11450.96,987.54,319.09,10.26,10.43,10,False,on_time,Clear,23.9,48.1,2026-04-12T12:00:00.920132,2026-04-12T12:12:00.920132,2026-04-12T22:15:36.920132,2026-04-12T22:25:36.920132,2026-04-12
