driver_id,full_name,license_type,experience_years,rating,country,is_active
1,Melanie Fernandez,B,17,4.42,NL,True
2,David Jones,C,7,3.48,Morocco,True
3,Kristen Black,CE,1,3.27,Kenya,True
4,Maria James,C,7,3.98,NL,True
5,Stephen Ellis,CE,11,3.75,Egypt,True
6,Steven Wood,CE,4,3.23,Nigeria,True
7,Lauren Sandoval,C,14,4.52,NL,True
8,Anna Carter,B,18,4.58,France,True
9,Kyle Hill,CE,13,3.83,UAE,True
10,Kenneth Leach,C,10,3.91,Kenya,True
11,Jasmin Huff,C,10,3.61,France,True
12,Joshua Holt,CE,19,4.29,Egypt,True
13,Angela Garcia,CE,15,4.2,France,True
14,Michelle Jones,CE,6,2.88,UK,True
15,Elijah Fox,C,20,3.98,UK,True
16,Anna Martinez,CE,8,3.43,Nigeria,True
17,Rhonda Wiley,B,7,3.22,Morocco,False
18,Michelle Aguilar,CE,16,4.29,UK,True
19,Melissa Ross,B,19,4.15,NL,True
20,Lauren Aguilar,B,8,3.18,Morocco,True
21,Alexandra Gonzalez,C,4,3.74,France,True
22,Patricia Salazar,C,17,4.21,Morocco,True
23,Charles Carter,C,4,3.32,UAE,True
24,Brent Duncan,CE,17,3.85,Spain,True
25,Joanna Ortiz,CE,15,3.96,Kenya,True
26,Paula Miranda,C,18,4.38,UAE,True
27,Cheryl Watts MD,C,16,3.85,Nigeria,True
28,Mark Gutierrez,CE,9,3.79,Turkey,True
29,Amy Nelson,C,9,3.49,UK,True
30,Emily Wilson,C,8,3.51,Egypt,True
31,Steve Robinson,B,18,4.17,UAE,True
32,Dennis Fox,CE,13,4.53,UAE,True
33,Kara Lucas,C,3,3.22,NL,True
34,Christopher Duncan,C,15,3.81,Morocco,True
35,Pamela Henry DDS,C,14,4.3,Spain,True
36,Katrina Hudson,CE,1,2.71,NL,True
37,Bryan Taylor,C,12,3.96,NL,True
38,Dawn Parker,CE,14,3.46,Kenya,True
39,Kathryn Singh,C,8,3.2,France,True
40,Jaime Dalton,B,16,4.26,NL,True
41,James Dalton,CE,13,4.2,UAE,True
42,Jonathan Perkins,CE,5,3.43,Kenya,False
43,David Decker,CE,13,3.94,Spain,True
44,Samantha Deleon,CE,3,3.13,NL,True
45,Steven Roberts,B,15,3.68,Morocco,True
46,Misty Miller,B,11,3.61,Turkey,True
47,Marie Rivera,C,13,3.84,NL,True
48,Ryan Anderson,C,3,3.54,Morocco,True
49,Jeremy Smith,C,2,3.25,France,True
50,Tracy Morris,B,2,2.62,France,True
