company_name,industry,customer_country,customer_city,segment,contract_type,driver_name,license_type,experience_years,driver_rating,driver_country,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,origin_city,destination_city,distance_km,region,route_type,weight_kg,cost_usd,fuel_consumed_liters,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weather_condition,temperature_celsius,wind_speed_kmh,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,date
Carrefour SA,Retail,France,Paris,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-005,Truck,18000,2019,120000,Paris,Berlin,1292,Europe,Road,9750.56,1729.18,344.45,16.15,16.55,24,True,delayed,Clear,8.5,78.8,2026-04-11T06:00:00.063188,2026-04-11T06:06:00.063188,2026-04-11T22:09:00.063188,2026-04-11T22:33:00.063188,2026-04-11
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Pierre Martin,CE,15,4.8,France,TRK-003,Truck,25000,2015,280000,Casablanca,Tunis,2003,Africa,Road,19217.86,2748.36,861.05,25.04,25.02,-1,False,on_time,Rain,5.4,38.4,2026-04-08T09:00:00.090119,2026-04-08T09:04:00.090119,2026-04-09T10:02:24.090119,2026-04-09T10:01:24.090119,2026-04-08
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Marie Dupont,C,5,4.2,France,VAN-002,Van,3500,2021,45000,Casablanca,Tunis,2003,Africa,Road,2957.91,3972.32,615.45,25.04,25.34,18,True,delayed,Rain,31.5,66.5,2026-04-09T13:00:00.120001,2026-04-09T13:07:00.120001,2026-04-10T14:02:24.120001,2026-04-10T14:20:24.120001,2026-04-09
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Juan Garcia,CE,7,4.5,Spain,VAN-004,Van,3000,2022,20000,Madrid,Lisbon,632,Europe,Road,2671.11,784.14,247.9,7.9,7.83,-4,False,on_time,Clear,25.2,70.6,2026-04-10T06:00:00.150919,2026-04-10T06:14:00.150919,2026-04-10T13:54:00.150919,2026-04-10T13:50:00.150919,2026-04-10
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Pierre Martin,CE,15,4.8,France,TRK-007,Truck,22000,2016,210000,Istanbul,Vienna,1611,Europe,Road,10418.41,2954.53,483.42,20.14,20.21,4,True,delayed,Fog,-6.3,31.1,2026-04-08T13:00:00.178330,2026-04-08T13:02:00.178330,2026-04-09T09:08:24.178330,2026-04-09T09:12:24.178330,2026-04-08
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Amina Benali,C,2,3.5,Morocco,VAN-002,Van,3500,2021,45000,Paris,Berlin,1292,Europe,Road,2332.94,3100.37,557.11,16.15,16.33,11,False,on_time,Clear,1.4,5.9,2026-04-11T06:00:00.206754,2026-04-11T05:58:00.206754,2026-04-11T22:09:00.206754,2026-04-11T22:20:00.206754,2026-04-11
BlueStar Ltd,Retail,UAE,Dubai,Startup,Spot,Juan Garcia,CE,7,4.5,Spain,VAN-002,Van,3500,2021,45000,Casablanca,Tunis,2003,Africa,Road,2476.54,4948.82,634.86,25.04,25.11,4,False,on_time,Clear,-0.5,94.5,2026-04-10T12:00:00.238335,2026-04-10T12:19:00.238335,2026-04-11T13:02:24.238335,2026-04-11T13:06:24.238335,2026-04-10
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Amina Benali,C,2,3.5,Morocco,TRK-007,Truck,22000,2016,210000,Amsterdam,Brussels,179,Europe,Road,18397.05,435.66,58.84,2.24,2.71,28,False,on_time,Fog,37.0,96.9,2026-04-11T11:00:00.262182,2026-04-11T11:04:00.262182,2026-04-11T13:14:24.262182,2026-04-11T13:42:24.262182,2026-04-11
Zara Group,Fashion,Spain,Madrid,Enterprise,Monthly,Juan Garcia,CE,7,4.5,Spain,TRK-001,Truck,20000,2018,150000,Paris,Berlin,1292,Europe,Road,8603.85,2135.71,435.15,16.15,16.02,-8,False,on_time,Clear,37.8,30.9,2026-04-09T13:00:00.288774,2026-04-09T12:59:00.288774,2026-04-10T05:09:00.288774,2026-04-10T05:01:00.288774,2026-04-09
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Klaus Weber,CE,12,4.9,Germany,TRK-005,Truck,18000,2019,120000,Amsterdam,Brussels,179,Europe,Road,10634.15,425.22,47.51,2.24,2.21,-2,False,on_time,Clear,20.9,5.7,2026-04-06T11:00:00.318559,2026-04-06T11:13:00.318559,2026-04-06T13:14:24.318559,2026-04-06T13:12:24.318559,2026-04-06
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Klaus Weber,CE,12,4.9,Germany,VAN-008,Van,4000,2020,80000,Rome,Vienna,821,Europe,Road,2246.82,1447.64,297.85,10.26,10.38,7,False,on_time,Clear,35.2,67.1,2026-04-06T07:00:00.341127,2026-04-06T07:01:00.341127,2026-04-06T17:15:36.341127,2026-04-06T17:22:36.341127,2026-04-06
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Pierre Martin,CE,15,4.8,France,TRK-007,Truck,22000,2016,210000,Amsterdam,Brussels,179,Europe,Road,14352.94,373.04,76.73,2.24,2.69,27,False,on_time,Cloudy,-3.7,30.6,2026-04-08T06:00:00.373097,2026-04-08T06:06:00.373097,2026-04-08T08:14:24.373097,2026-04-08T08:41:24.373097,2026-04-08
MedEx Corp,Medical,France,Paris,Enterprise,Annual,Pierre Martin,CE,15,4.8,France,VAN-002,Van,3500,2021,45000,Istanbul,Vienna,1611,Europe,Road,165.27,3554.05,706.71,20.14,20.36,13,False,on_time,Clear,39.5,21.8,2026-04-07T12:00:00.399068,2026-04-07T12:10:00.399068,2026-04-08T08:08:24.399068,2026-04-08T08:21:24.399068,2026-04-07
Siemens AG,Tech,Germany,Berlin,Enterprise,Annual,Marie Dupont,C,5,4.2,France,TRK-001,Truck,20000,2018,150000,Casablanca,Tunis,2003,Africa,Road,11968.65,3089.1,899.64,25.04,25.32,17,False,on_time,Cloudy,18.5,58.9,2026-04-06T10:00:00.425121,2026-04-06T09:55:00.425121,2026-04-07T11:02:24.425121,2026-04-07T11:19:24.425121,2026-04-06
GreenMove GmbH,Energy,Germany,Berlin,SME,Annual,Juan Garcia,CE,7,4.5,Spain,TRK-005,Truck,18000,2019,120000,Istanbul,Vienna,1611,Europe,Road,2551.61,3771.56,652.36,20.14,21.67,92,True,delayed,Cloudy,24.8,95.9,2026-04-10T13:00:00.458587,2026-04-10T13:00:00.458587,2026-04-11T09:08:24.458587,2026-04-11T10:40:24.458587,2026-04-10
AlphaLogistics,Logistics,Egypt,Cairo,SME,Spot,Marie Dupont,C,5,4.2,France,VAN-002,Van,3500,2021,45000,Amsterdam,Brussels,179,Europe,Road,1346.89,287.53,71.34,2.24,2.44,12,False,on_time,Cloudy,29.4,74.1,2026-04-06T10:00:00.484786,2026-04-06T10:10:00.484786,2026-04-06T12:14:24.484786,2026-04-06T12:26:24.484786,2026-04-06
NovaTech,Tech,Morocco,Casablanca,SME,Monthly,Amina Benali,C,2,3.5,Morocco,VAN-002,Van,3500,2021,45000,Rome,Vienna,821,Europe,Road,947.96,1282.71,359.09,10.26,10.29,2,False,on_time,Clear,21.3,11.1,2026-04-09T13:00:00.515075,2026-04-09T13:10:00.515075,2026-04-09T23:15:36.515075,2026-04-09T23:17:36.515075,2026-04-09
